VendorNumber,VendorName,Brand,Description,Volume,ActualPrice,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesAvgPrice,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
17035,PERNOD RICARD USA,8339,The Glenlivet 12 Yr Single,750.0,42.99,30.21,13250,400282.5,43.721926502447246,12463,544906.37,9818.56,123780.22,144623.87,26.54104961188103,0.9406037735849057,1.361304503694266,30.21,Large,23775.27
2555,DISARONNO INTERNATIONAL LLC,5312,Amaretto DiSaronno,750.0,21.99,14.7,27186,399634.2,21.841363740545496,26178,571763.22,20614.87,5861.03,172129.01999999996,30.10494798878458,0.9629220922533657,1.4307164401845487,14.700000000000001,Large,14817.599999999999
3960,DIAGEO NORTH AMERICA INC,1869,Oban 14-Yr Single Malt,750.0,54.99,40.14,9892,397064.88,59.582580540188744,9219,549291.81,7262.52,257032.07,152226.93000000005,27.71330779535927,0.9319652244237768,1.3833804943917478,40.14,Large,27014.22
8112,MOET HENNESSY USA INC,8622,Dom Perignon,750.0,145.99,87.09,4544,395736.95999999996,142.7956699781924,4127,589317.73,459.15000000000003,48347.26,193580.77000000002,32.84828542321305,0.9082306338028169,1.489165252596068,87.08999999999999,Large,36316.53
3960,DIAGEO NORTH AMERICA INC,1868,Lagavulin Single Malt 16-Yr,750.0,66.99,49.62,7821,388078.02,72.04873888016745,7644,550740.5599999999,6022.61,257032.07,162662.53999999992,29.535238879083092,0.9773686229382432,1.4191490669840048,49.620000000000005,Large,8782.74
480,BACARDI USA INC,508,Bacardi Superior Rum,1000.0,12.99,9.77,38957,380609.89,13.624863701578192,38335,522309.15,40251.75,89286.27,141699.26,27.12938496290942,0.984033678157969,1.3722952653700091,9.77,Large,6076.94
3924,HEAVEN HILL DISTILLERIES,1180,Evan Williams Black Label B,1750.0,16.99,13.07,29070,379944.9,19.208408681206038,28291,543425.09,51982.14,14069.87,163480.18999999994,30.083298141423683,0.973202614379085,1.4302734159611037,13.07,Large,10181.53
8112,MOET HENNESSY USA INC,4673,Hennessy VS Cognac,1750.0,69.99,46.66,8132,379439.12,67.6609780734171,8118,549271.82,14917.3,48347.26,169832.69999999995,30.91960916545837,0.9982784062961141,1.4475887989620047,46.66,Large,653.24
17035,PERNOD RICARD USA,2646,Chivas Regal,1750.0,58.99,43.3,8702,376796.6,56.13016761812219,8233,462119.67,15131.22,123780.22,85323.07,18.463414465781128,0.9461043438290049,1.2264433118557865,43.3,Large,20307.699999999997
7245,PROXIMO SPIRITS INC.,8691,Jose Cuervo Especial,750.0,14.99,11.9,31495,374790.5,15.744453047828442,31383,494108.17,24709.81,38994.78,119317.66999999998,24.14808684503233,0.9964438799809494,1.3183583095089122,11.9,Large,1332.8
3960,DIAGEO NORTH AMERICA INC,4330,Capt Morgan Spiced Rum 100,1750.0,25.99,20.79,17755,369126.45,27.391009470878465,17633,482985.67,32401.76,257032.07,113859.21999999997,23.574036886021894,0.9931286961419319,1.3084558692556438,20.79,Large,2536.38
